ID,participant,x1_JJJ,x2_nchar,freq,
592,JJE64,0,91,0,
593,JJE65,0,125,1,
594,JJE66,0,138,1,
595,JJE67,0,147,0,
596,JJE68,0,128,0,
597,JJE69,0,150,0,
598,JJE70,0,304,1,
599,JJE71,0,121,0,
600,JJE72,0,93,0,
601,JJJ01,1,143,2,
602,JJJ02,1,135,2,
603,JJJ03,1,180,1,
604,JJJ04,1,190,1,
605,JJJ05,1,298,1,
606,JJJ06,1,214,1,
607,JJJ07,1,170,2,
608,JJJ08,1,220,0,
609,JJJ09,1,172,0,
610,JJJ10,1,253,0,
611,JJJ11,1,129,2,
612,JJJ12,1,159,0,
613,JJJ13,1,178,2,
614,JJJ14,1,150,1,
615,JJJ15,1,183,1,
616,JJJ16,1,232,1,
617,JJJ17,1,141,2,
618,JJJ18,1,167,1,
619,JJJ19,1,173,1,
620,JJJ20,1,202,2,
621,JJJ21,1,285,3,
622,JJJ23,1,202,0,
623,JJJ24,1,212,1,
624,JJJ25,1,190,0,
625,JJJ26,1,326,1,
626,JJJ27,1,192,2,
627,JJJ28,1,172,1,
628,JJJ29,1,177,1,
629,JJJ30,1,206,0,
630,JJJ31,1,175,1,
631,JJJ32,1,193,0,
632,JJJ33,1,230,1,
633,JJJ35,1,129,2,
634,JJJ36,1,134,2,
635,JJJ37,1,130,2,
636,JJJ39,1,201,0,
637,JJJ43,1,204,2,
638,JJJ44,1,160,1,
639,JJJ45,1,152,0,
640,JJJ46,1,191,2,
641,JJJ47,1,212,2,
642,JJJ48,1,80,1,
643,JJJ49,1,337,1,
644,JJJ50,1,274,1,
645,JJJ51,1,173,0,
646,JJJ52,1,180,1,
647,JJJ54,1,222,1,
648,JJJ55,1,132,0,
649,JJJ56,1,150,0,
650,JJJ57,1,194,1,
651,JJN01,0,231,2,
652,JJN03,0,89,0,
653,JJN04,0,217,0,
654,JJN05,0,182,0,
655,JJN06,0,92,0,
656,JJN07,0,183,0,
657,JJN08,0,86,0,
658,JJN09,0,522,0,
659,JJN10,0,90,0,
660,JJN11,0,149,0,
661,JJN12,0,324,0,
662,JJN13,0,185,0,
663,JJN14,0,172,0,
664,JJN15,0,307,0,
665,JJN16,0,312,3,
666,JJN17,0,176,2,
667,JJN18,0,95,0,
668,JJN19,0,78,0,
669,JJN20,0,355,1,
670,JJN21,0,175,0,
671,JJN23,0,80,0,
672,JJN24,0,342,0,
673,JJN25,0,296,0,
674,JJN26,0,156,1,
675,JJN27,0,224,0,
676,JJN29,0,166,1,
677,JJN30,0,131,0,
678,JJN31,0,197,0,
679,JJN32,0,247,0,
680,JJN33,0,124,0,
681,JJN34,0,213,0,
682,JJN36,0,211,0,
683,JJN39,0,160,0,
684,JJN40,0,129,0,
685,JJN42,0,220,2,
686,JJN43,0,178,1,
687,JJN44,0,123,0,
688,JJN46,0,121,0,
689,JJN47,0,265,0,
690,JJN48,0,88,0,
691,JJN49,0,155,0,
692,JJN50,0,74,0,
693,JJN51,0,302,2,
694,JJN52,0,62,0,
695,JJN53,0,135,0,
696,JJN55,0,68,0,
697,JJN56,0,178,0,
698,JJN58,0,146,0,
699,JJN59,0,270,0,
700,JJN63,0,113,0,
701,KKD01,0,143,1,
702,KKD02,0,217,2,
703,KKD04,0,157,0,
704,KKD05,0,205,0,
705,KKD06,0,175,1,
706,KKD07,0,222,1,
707,KKD08,0,152,2,
708,KKD09,0,213,1,
709,KKD10,0,155,0,
710,KKD11,0,203,0,
711,KKD12,0,151,0,
712,KKD14,0,110,0,
713,KKD15,0,216,1,
714,KKD16,0,177,2,
715,KKD17,0,109,0,
716,KKD18,0,155,0,
717,KKD19,0,191,1,
718,KKD20,0,168,1,
719,KKD21,0,220,1,
720,KKD23,0,369,0,
721,KKD24,0,259,2,
722,KKD25,0,120,1,
723,KKD26,0,132,1,
724,KKD27,0,315,0,
725,KKD28,0,169,1,
726,KKD29,0,124,0,
727,KKD30,0,161,1,
728,KKD33,0,255,1,
729,KKD34,0,210,1,
730,KKD35,0,142,1,
731,KKD37,0,148,1,
732,KKD38,0,204,1,
733,KKD40,0,177,0,
734,KKD41,0,112,0,
735,KKD43,0,120,0,
736,KKD45,0,124,0,
737,KKD46,0,201,1,
738,KKD47,0,149,0,
739,KKD48,0,207,1,
740,KKD49,0,123,0,
741,KKD50,0,139,0,
742,KKD52,0,102,0,
743,KKD53,0,153,2,
744,KKD54,0,173,0,
745,KKD55,0,111,1,
746,KKD57,0,97,1,
747,KKD59,0,138,1,
748,KKD60,0,95,0,
749,KKR01,0,122,1,
750,KKR03,0,258,1,
751,KKR04,0,134,2,
752,KKR05,0,153,1,
753,KKR06,0,174,1,
754,KKR07,0,159,0,
755,KKR08,0,454,1,
756,KKR09,0,120,1,
